nome,comp,larg,setor,qtd,x,y
Mesa Flexora,1.58,0.87,2,1,,
Cadeira Extensora,0.90,1.05,2,2,,
Cadeira Flexora,1.15,1.25,2,3,,
Extensora Unilateral (Modelo 1),1.57,1.25,2,1,,
Suporte para Anilhas,1.06,1.06,4,1,,
Extensora Unilateral (Modelo 2),1.37,1.40,2,1,,
Flexora Unilateral,1.05,1.00,2,1,,
Leg Press Horizontal,1.72,1.24,2,1,,
Cross Over Guiado,2.10,1.20,1,1,,
Maquina de Agachamento (Hack Squat),1.44,2.08,2,1,,
Leg Press 45,1.33,2.20,2,2,,
Squat Machine,0.90,2.04,2,1,,
Maquina de Agachamento Sumo,2.18,1.30,2,1,,
Maquina Adutora/Abdutora,1.95,0.88,2,1,,
Maquina de Panturrilha,1.00,1.77,2,1,,
Peck Deck / Voador (Tec/Tec),0.80,1.66,1,2,,
Maquina Adutora,1.90,0.89,2,1,,
Coice Articulado,1.54,1.33,2,1,,
Smith Machine,1.80,2.10,3,1,,
Maquina Assistida para Barra (Graviton),2.10,1.87,1,2,,
Remada Articulada,1.50,1.55,1,1,,
Maquina Articulada para Ombros (Modelo 1),1.70,1.50,3,1,,
Remada Nao Articulada,1.33,1.62,1,1,,
Remada Articulada (Modelo 3),1.28,1.34,1,1,,
Puxada Articulada,1.33,1.24,1,1,,
Suporte Pequeno para Anilhas,0.40,0.78,4,3,,
Filtro de Agua,0.77,1.04,4,1,,
Remada Cavalinho (T-Bar),1.92,0.90,1,1,,
PilarA,0.40,0.64,4,1,4.00,11.00
PilarB,0.40,0.64,4,1,4.00,16.00
Escada,6.00,1.50,4,1,0.00,20.50
Supino Reto Maquina,1.60,2.04,1,1,,
Supino Inclinado Maquina,1.50,2.20,1,1,,
Maquina de Puxada Alta,1.90,0.69,1,3,,
Cross Over,3.54,0.80,1,3,,
Suporte para Barras,0.74,0.93,4,1,,
Suporte para Pegadores,0.78,0.78,4,1,,
Suporte para Halteres Pequeno,0.47,0.47,4,2,,
Agachamento Livre (Rack),1.27,0.90,2,1,,
Maquina Abdominal,0.77,1.34,3,1,,
Maquina Articulada para Ombros (Modelo 2),1.52,0.94,3,1,,
Suporte para Halteres Grande,2.57,0.75,4,2,,
Rosca Articulada Maquina,1.07,1.62,3,1,,
Banco Scott,0.81,1.04,3,1,,
Maquina Panturrilha Cavalinho,0.57,1.25,2,1,,
Banco Pequeno,0.48,0.56,3,2,,
Banco Regulavel (Inclinavel),1.60,0.45,3,2,,
Banco Inclinado,1.09,0.26,3,1,,
Banco 90,0.35,0.62,3,1,,
Recepcao,4.36,7.00,4,1,0.00,0.00
Grade de Separacao,1.47,1.01,4,1,,
